NVE3	NEMVEDRAFT_v1g196074	196074
NVE4	NEMVEDRAFT_v1g196075	196075
NVE5	NEMVEDRAFT_v1g43493	43493
NVE6	NEMVEDRAFT_v1g176880	176880
NVE7	NEMVEDRAFT_v1g176880	176880
NVE9	NEMVEDRAFT_v1g157632	157632
NVE10	NEMVEDRAFT_v1g176889	176889
NVE12	NEMVEDRAFT_v1g196084	196084
NVE13	NEMVEDRAFT_v1g196085	196085
NVE15	NEMVEDRAFT_v1g157638	157638
NVE16	NEMVEDRAFT_v1g196089	196089
NVE17	NEMVEDRAFT_v1g196090	196090
NVE18	NEMVEDRAFT_v1g176892	176892
NVE19	NEMVEDRAFT_v1g79108	79108
NVE20	NEMVEDRAFT_v1g71074	71074
NVE22	NEMVEDRAFT_v1g196095	196095
NVE23	NEMVEDRAFT_v1g157648	157648
NVE24	NEMVEDRAFT_v1g36187	36187
NVE25	NEMVEDRAFT_v1g196099	196099
NVE26	NEMVEDRAFT_v1g237703	237703
NVE27	NEMVEDRAFT_v1g237704	237704
NVE28	NEMVEDRAFT_v1g63393	63393
NVE29	NEMVEDRAFT_v1g237705	237705
NVE30	NEMVEDRAFT_v1g237706	237706
NVE31	NEMVEDRAFT_v1g196104	196104
NVE31	NEMVEDRAFT_v1g79604	79604
NVE32	NEMVEDRAFT_v1g227824	227824
NVE35	NEMVEDRAFT_v1g176908	176908
NVE36	NEMVEDRAFT_v1g196111	196111
NVE37	NEMVEDRAFT_v1g79191	79191
NVE38	NEMVEDRAFT_v1g157664	157664
NVE39	NEMVEDRAFT_v1g157669	157669
NVE40	NEMVEDRAFT_v1g78986	78986
NVE41	NEMVEDRAFT_v1g233857	233857
NVE42	NEMVEDRAFT_v1g78945	78945
NVE42	NEMVEDRAFT_v1g60205	60205
NVE43	NEMVEDRAFT_v1g2159	2159
NVE43	NEMVEDRAFT_v1g78993	78993
NVE43	NEMVEDRAFT_v1g79154	79154
NVE43	NEMVEDRAFT_v1g39497	39497
NVE43	NEMVEDRAFT_v1g79123	79123
NVE43	NEMVEDRAFT_v1g79262	79262
NVE44	NEMVEDRAFT_v1g79287	79287
NVE44	NEMVEDRAFT_v1g79532	79532
NVE45	NEMVEDRAFT_v1g196122	196122
NVE45	NEMVEDRAFT_v1g196123	196123
NVE47	NEMVEDRAFT_v1g237717	237717
NVE48	NEMVEDRAFT_v1g237718	237718
NVE49	NEMVEDRAFT_v1g79314	79314
NVE50	NEMVEDRAFT_v1g237719	237719
