scaffold_1	219542	219569	MSPC_Peak_10242	14.775	scaffold_1	219120	219569	450	-	NVE17
scaffold_1	298760	299106	MSPC_Peak_10223	49.656	scaffold_1	298760	299209	450	-	NVE26
scaffold_1	312825	313056	MSPC_Peak_10216	10.31	scaffold_1	312660	313109	450	+	NVE31
scaffold_1	429457	429538	MSPC_Peak_10204	60.834	scaffold_1	429089	429538	450	+	NVE42
scaffold_1	1074394	1074730	MSPC_Peak_10059	92.533	scaffold_1	1074281	1074730	450	-	NVE95
scaffold_1	1666693	1666733	MSPC_Peak_9965	10.565	scaffold_1	1666693	1667142	450	-	NVE139
scaffold_1	1706235	1706684	MSPC_Peak_9959	47.085	scaffold_1	1706235	1706684	450	-	NVE143
scaffold_1	1706575	1707024	MSPC_Peak_9959	47.085	scaffold_1	1706575	1707024	450	+	NVE144
scaffold_1	2067993	2068119	MSPC_Peak_9926	12.969	scaffold_1	2067670	2068119	450	-	NVE174
scaffold_1	2335789	2336013	MSPC_Peak_9861	8.27	scaffold_1	2335789	2336238	450	-	NVE189
scaffold_1	2623826	2624258	MSPC_Peak_9822	27.938	scaffold_1	2623826	2624275	450	+	NVE210
scaffold_1	2776796	2776977	MSPC_Peak_9791	30.504	scaffold_1	2776796	2777245	450	-	NVE219
scaffold_1	2776676	2776977	MSPC_Peak_9791	30.504	scaffold_1	2776676	2777125	450	+	NVE220
scaffold_1	2836466	2836915	MSPC_Peak_9763	14.155	scaffold_1	2836466	2836915	450	-	NVE228
scaffold_1	3012230	3012679	MSPC_Peak_9729	59.912	scaffold_1	3012230	3012679	450	-	NVE244
scaffold_1	3046199	3046648	MSPC_Peak_9723	99.228	scaffold_1	3046199	3046648	450	-	NVE246
scaffold_1	3046140	3046558	MSPC_Peak_9723	99.228	scaffold_1	3046109	3046558	450	+	NVE247
scaffold_2	43012	43328	MSPC_Peak_6977	35.872	scaffold_2	42976	43425	450	-	NVE7988
scaffold_2	43012	43315	MSPC_Peak_6977	35.872	scaffold_2	42866	43315	450	+	NVE7989
